"Date Retrieved","Dam Name","Observation Time & Date","Reservoir Water Level (RWL) (m)","Water Level Deviation Hr","Water Level Deviation Amount","Normal High Water Level (NHWL) (m)","Deviation from NHWL (m)","Rule Curve Elevation (m)","Deviation from Rule Curve (m)","Gate Opening Gates","Gate Opening Meters","Estimated (cms) Inflow","Estimated (cms) Outflow"
2024-06-12,"Ambuklao",2024-06-12 08:00:00,742.05,24,0.24,752,-9.95,745,-2.95,NA,NA,NA,NA
2024-06-12,"Ambuklao",2024-06-11 08:00:00,741.81,24,0.24,752,-10.19,745,-3.19,NA,NA,NA,NA
2024-06-12,"Angat",2024-06-12 08:00:00,177.92,24,-0.16,210,-32.08,182.92,-5,NA,NA,NA,NA
2024-06-12,"Angat",2024-06-11 08:00:00,178.08,24,-0.16,210,-31.92,182.98,-4.9,NA,NA,NA,NA
2024-06-12,"Binga",2024-06-11 08:00:00,569.95,24,0.29,575,-5.05,565,4.95,NA,NA,NA,NA
2024-06-12,"Binga",2024-06-12 08:00:00,570.24,24,0.29,575,-4.76,565,5.24,NA,NA,NA,NA
2024-06-12,"Caliraya",2024-06-12 08:00:00,286.95,24,-0.19,0,0,0,0,NA,NA,NA,NA
2024-06-12,"Caliraya",2024-06-11 08:00:00,287.14,24,-0.19,0,0,0,0,NA,NA,NA,NA
2024-06-12,"Ipo",2024-06-12 08:00:00,100.26,24,-0.36,101.1,-0.84,0,0,NA,NA,NA,NA
2024-06-12,"Ipo",2024-06-11 08:00:00,100.62,24,-0.36,101.1,-0.48,0,0,NA,NA,NA,NA
2024-06-12,"La Mesa",2024-06-12 08:00:00,76.07,24,0.1,80.15,-4.08,0,0,NA,NA,NA,NA
2024-06-12,"La Mesa",2024-06-11 08:00:00,75.97,24,0.1,80.15,-4.18,0,0,NA,NA,NA,NA
2024-06-12,"Magat Dam",2024-06-12 08:00:00,180.31,24,0.33,193,-12.69,174.52,5.79,NA,NA,NA,NA
2024-06-12,"Magat Dam",2024-06-11 08:00:00,179.98,24,0.33,193,-13.02,174.47,5.51,NA,NA,NA,NA
2024-06-12,"Pantabangan",2024-06-12 08:00:00,177.06,24,0.1,216,-38.94,203.84,-26.78,NA,NA,NA,NA
2024-06-12,"Pantabangan",2024-06-11 08:00:00,176.96,24,0.1,216,-39.04,203.82,-26.86,NA,NA,NA,NA
2024-06-12,"San Roque",2024-06-12 08:00:00,228.26,24,-0.25,280,-51.74,233.84,-5.58,NA,NA,NA,NA
2024-06-12,"San Roque",2024-06-11 08:00:00,228.51,24,-0.25,280,-51.49,233.77,-5.26,NA,NA,NA,NA
