"Date Retrieved","Dam Name","Observation Time & Date","Reservoir Water Level (RWL) (m)","Water Level Deviation Hr","Water Level Deviation Amount","Normal High Water Level (NHWL) (m)","Deviation from NHWL (m)","Rule Curve Elevation (m)","Deviation from Rule Curve (m)","Gate Opening Gates","Gate Opening Meters","Estimated (cms) Inflow","Estimated (cms) Outflow"
2024-10-15,"Ambuklao",2024-10-15 08:00:00,750.93,24,0.01,752,-1.07,745,5.93,NA,NA,NA,NA
2024-10-15,"Ambuklao",2024-10-14 08:00:00,750.92,24,0.01,752,-1.08,745,5.92,1,0.5,NA,65
2024-10-15,"Angat",2024-10-15 08:00:00,196.5,24,0.14,210,-13.5,191.36,5.14,NA,NA,NA,NA
2024-10-15,"Angat",2024-10-14 08:00:00,196.36,24,0.14,210,-13.64,190.99,5.37,NA,NA,NA,NA
2024-10-15,"Binga",2024-10-14 08:00:00,574.2,24,0.01,575,-0.8,565,9.2,2,0.8,NA,104
2024-10-15,"Binga",2024-10-15 08:00:00,574.21,24,0.01,575,-0.79,565,9.21,NA,NA,NA,NA
2024-10-15,"Caliraya",2024-10-15 08:00:00,287.26,24,-0.16,0,0,0,0,NA,NA,NA,NA
2024-10-15,"Caliraya",2024-10-14 08:00:00,287.42,24,-0.16,0,0,0,0,NA,NA,NA,NA
2024-10-15,"Ipo",2024-10-15 08:00:00,100.3,24,0.02,101.1,-0.8,0,0,NA,NA,NA,NA
2024-10-15,"Ipo",2024-10-14 08:00:00,100.28,24,0.02,101.1,-0.82,0,0,NA,NA,NA,NA
2024-10-15,"La Mesa",2024-10-15 08:00:00,79.6,24,0,80.15,-0.55,0,0,NA,NA,NA,NA
2024-10-15,"La Mesa",2024-10-14 08:00:00,79.6,24,0,80.15,-0.55,0,0,NA,NA,NA,NA
2024-10-15,"Magat Dam",2024-10-15 08:00:00,188.62,24,-0.9,193,-4.38,187.07,1.55,2,3,NA,561
2024-10-15,"Magat Dam",2024-10-14 08:00:00,189.52,24,-0.9,193,-3.48,187,2.52,2,4,NA,796
2024-10-15,"Pantabangan",2024-10-15 08:00:00,204.32,24,0.13,218.5,-14.18,217.36,-13.04,NA,NA,NA,NA
2024-10-15,"Pantabangan",2024-10-14 08:00:00,204.19,24,0.13,218.5,-14.31,217.27,-13.08,NA,NA,NA,NA
2024-10-15,"San Roque",2024-10-15 08:00:00,276.95,24,0.04,280,-3.05,274.02,2.93,NA,NA,NA,NA
2024-10-15,"San Roque",2024-10-14 08:00:00,276.91,24,0.04,280,-3.09,273.67,3.24,NA,NA,NA,NA
