"Date Retrieved","Dam Name","Observation Time & Date","Reservoir Water Level (RWL) (m)","Water Level Deviation Hr","Water Level Deviation Amount","Normal High Water Level (NHWL) (m)","Deviation from NHWL (m)","Rule Curve Elevation (m)","Deviation from Rule Curve (m)","Gate Opening Gates","Gate Opening Meters","Estimated (cms) Inflow","Estimated (cms) Outflow"
2024-09-25,"Ambuklao",2024-09-25 08:00:00,751.58,24,0.23,752,-0.42,745,6.58,NA,NA,NA,NA
2024-09-25,"Ambuklao",2024-09-24 08:00:00,751.35,24,0.23,752,-0.65,745,6.35,NA,NA,NA,NA
2024-09-25,"Angat",2024-09-25 08:00:00,195.44,24,-0.11,210,-14.56,185.42,10.02,NA,NA,NA,NA
2024-09-25,"Angat",2024-09-24 08:00:00,195.55,24,-0.11,210,-14.45,185.34,10.21,NA,NA,NA,NA
2024-09-25,"Binga",2024-09-24 08:00:00,574.4,24,0.08,575,-0.6,565,9.4,NA,NA,NA,NA
2024-09-25,"Binga",2024-09-25 08:00:00,574.48,24,0.08,575,-0.52,565,9.48,NA,NA,NA,NA
2024-09-25,"Caliraya",2024-09-25 08:00:00,286.88,24,-0.14,0,0,0,0,NA,NA,NA,NA
2024-09-25,"Caliraya",2024-09-24 08:00:00,287.02,24,-0.14,0,0,0,0,NA,NA,NA,NA
2024-09-25,"Ipo",2024-09-25 08:00:00,100.31,24,0,101.1,-0.79,0,0,NA,NA,NA,NA
2024-09-25,"Ipo",2024-09-24 08:00:00,100.31,24,0,101.1,-0.79,0,0,NA,NA,NA,NA
2024-09-25,"La Mesa",2024-09-25 08:00:00,79.57,24,0.13,80.15,-0.58,0,0,NA,NA,NA,NA
2024-09-25,"La Mesa",2024-09-24 08:00:00,79.44,24,0.13,80.15,-0.71,0,0,NA,NA,NA,NA
2024-09-25,"Magat Dam",2024-09-25 08:00:00,186.3,24,0.18,190,-3.7,185.42,0.88,NA,NA,NA,NA
2024-09-25,"Magat Dam",2024-09-24 08:00:00,186.12,24,0.18,190,-3.88,185.3,0.82,NA,NA,NA,NA
2024-09-25,"Pantabangan",2024-09-25 08:00:00,200.79,24,0.26,216,-15.21,215.51,-14.72,NA,NA,NA,NA
2024-09-25,"Pantabangan",2024-09-24 08:00:00,200.53,24,0.26,216,-15.47,215.39,-14.86,NA,NA,NA,NA
2024-09-25,"San Roque",2024-09-25 08:00:00,273.08,24,0.33,280,-6.92,266,7.08,NA,NA,NA,NA
2024-09-25,"San Roque",2024-09-24 08:00:00,272.75,24,0.33,280,-7.25,265.48,7.27,NA,NA,NA,NA
