"Date Retrieved","Dam Name","Observation Time & Date","Reservoir Water Level (RWL) (m)","Water Level Deviation Hr","Water Level Deviation Amount","Normal High Water Level (NHWL) (m)","Deviation from NHWL (m)","Rule Curve Elevation (m)","Deviation from Rule Curve (m)","Gate Opening Gates","Gate Opening Meters","Estimated (cms) Inflow","Estimated (cms) Outflow"
2024-12-13,"Ambuklao",2024-12-13 08:00:00,751.47,24,0.08,752,-0.53,752,-0.53,NA,NA,NA,NA
2024-12-13,"Ambuklao",2024-12-12 08:00:00,751.39,24,0.08,752,-0.61,752,-0.61,1,0.3,NA,52.39
2024-12-13,"Angat",2024-12-13 08:00:00,202.19,24,0.4,212,-9.81,206.37,-4.18,NA,NA,NA,NA
2024-12-13,"Angat",2024-12-12 08:00:00,201.79,24,0.4,212,-10.21,206.32,-4.53,NA,NA,NA,NA
2024-12-13,"Binga",2024-12-12 08:00:00,574.52,24,-0.31,575,-0.48,574.61,-0.09,1,0.3,NA,66.46
2024-12-13,"Binga",2024-12-13 08:00:00,574.21,24,-0.31,575,-0.79,574.58,-0.37,1,0.3,NA,72.03
2024-12-13,"Caliraya",2024-12-13 08:00:00,287.74,24,-0.06,0,0,0,0,NA,NA,NA,NA
2024-12-13,"Caliraya",2024-12-12 08:00:00,287.8,24,-0.06,0,0,0,0,NA,NA,NA,NA
2024-12-13,"Ipo",2024-12-13 08:00:00,100.62,24,0.23,101.1,-0.48,0,0,NA,NA,NA,NA
2024-12-13,"Ipo",2024-12-12 08:00:00,100.39,24,0.23,101.1,-0.71,0,0,NA,NA,NA,NA
2024-12-13,"La Mesa",2024-12-13 08:00:00,79.4,24,-0.2,80.15,-0.75,0,0,NA,NA,NA,NA
2024-12-13,"La Mesa",2024-12-12 08:00:00,79.6,24,-0.2,80.15,-0.55,0,0,NA,NA,NA,NA
2024-12-13,"Magat Dam",2024-12-13 08:00:00,186.79,24,0.1,193,-6.21,192.45,-5.66,1,0.5,NA,270.89
2024-12-13,"Magat Dam",2024-12-12 08:00:00,186.69,24,0.1,193,-6.31,192.42,-5.73,1,0.5,NA,169.89
2024-12-13,"Pantabangan",2024-12-13 08:00:00,212.79,24,-0.04,221,-8.21,219.6,-6.81,NA,NA,NA,NA
2024-12-13,"Pantabangan",2024-12-12 08:00:00,212.83,24,-0.04,221,-8.17,219.71,-6.88,NA,NA,NA,NA
2024-12-13,"San Roque",2024-12-13 08:00:00,280.3,24,-0.01,280,0.3,276.09,4.21,NA,NA,NA,NA
2024-12-13,"San Roque",2024-12-12 08:00:00,280.31,24,-0.01,280,0.31,276.18,4.13,NA,NA,NA,NA
