"Date Retrieved","Dam Name","Observation Time & Date","Reservoir Water Level (RWL) (m)","Water Level Deviation Hr","Water Level Deviation Amount","Normal High Water Level (NHWL) (m)","Deviation from NHWL (m)","Rule Curve Elevation (m)","Deviation from Rule Curve (m)","Gate Opening Gates","Gate Opening Meters","Estimated (cms) Inflow","Estimated (cms) Outflow"
2024-09-02,"Ambuklao",2024-09-02 02:00:00,749.02,30,0,752,-2.98,745,4.02,NA,NA,NA,NA
2024-09-02,"Ambuklao",2024-09-01 08:00:00,749.02,30,0,752,-2.98,745,4.02,NA,NA,NA,NA
2024-09-02,"Angat",2024-09-02 02:00:00,185.59,30,2.01,210,-24.41,183.65,1.94,NA,NA,NA,NA
2024-09-02,"Angat",2024-09-01 08:00:00,183.58,30,2.01,210,-26.42,183.58,0,NA,NA,NA,NA
2024-09-02,"Binga",2024-09-01 08:00:00,572.65,30,-0.82,575,-2.35,565,7.65,NA,NA,NA,NA
2024-09-02,"Binga",2024-09-02 02:00:00,571.83,30,-0.82,575,-3.17,565,6.83,NA,NA,NA,NA
2024-09-02,"Caliraya",2024-09-02 02:00:00,286.96,30,0.79,0,0,0,0,NA,NA,NA,NA
2024-09-02,"Caliraya",2024-09-01 08:00:00,286.17,30,0.79,0,0,0,0,NA,NA,NA,NA
2024-09-02,"Ipo",2024-09-02 02:00:00,101.08,30,0.28,101,0.08,0,0,NA,NA,NA,NA
2024-09-02,"Ipo",2024-09-01 08:00:00,100.8,30,0.28,101,-0.3,0,0,NA,NA,NA,NA
2024-09-02,"La Mesa",2024-09-02 02:00:00,80.02,30,0.49,80.15,-0.13,0,0,NA,NA,NA,NA
2024-09-02,"La Mesa",2024-09-01 08:00:00,79.53,30,0.49,80.15,-0.62,0,0,NA,NA,NA,NA
2024-09-02,"Magat Dam",2024-09-02 02:00:00,184.3,30,0.11,190,-5.7,182.73,1.57,NA,NA,NA,NA
2024-09-02,"Magat Dam",2024-09-01 08:00:00,184.19,30,0.11,190,-5.81,182.62,1.57,NA,NA,NA,NA
2024-09-02,"Pantabangan",2024-09-02 12:00:00,190.36,28,0.15,216,-25.64,212.77,-22.41,NA,NA,NA,NA
2024-09-02,"Pantabangan",2024-09-01 08:00:00,190.21,28,0.15,216,-25.79,212.65,-22.44,NA,NA,NA,NA
2024-09-02,"San Roque",2024-09-02 02:00:00,252.94,30,0.11,280,-27.06,254.12,-1.18,NA,NA,NA,NA
2024-09-02,"San Roque",2024-09-01 08:00:00,252.83,30,0.11,280,-27.17,253.6,-0.77,NA,NA,NA,NA
