"Date Retrieved","Dam Name","Observation Time & Date","Reservoir Water Level (RWL) (m)","Water Level Deviation Hr","Water Level Deviation Amount","Normal High Water Level (NHWL) (m)","Deviation from NHWL (m)","Rule Curve Elevation (m)","Deviation from Rule Curve (m)","Gate Opening Gates","Gate Opening Meters","Estimated (cms) Inflow","Estimated (cms) Outflow"
2024-11-12,"Ambuklao",2024-11-12 08:00:00,751.58,24,1.29,752,-0.42,752,-0.42,2,1,NA,153.58
2024-11-12,"Ambuklao",2024-11-11 08:00:00,750.29,24,1.29,752,-1.71,752,-1.71,1,0.3,NA,109.67
2024-11-12,"Angat",2024-11-12 08:00:00,201.73,24,-0.15,210,-8.27,200.66,1.07,NA,NA,NA,NA
2024-11-12,"Angat",2024-11-11 08:00:00,201.88,24,-0.15,210,-8.12,200.38,1.5,NA,NA,NA,NA
2024-11-12,"Binga",2024-11-11 08:00:00,572.86,24,1.84,575,-2.14,575,-2.14,1,0.5,NA,151.28
2024-11-12,"Binga",2024-11-12 08:00:00,574.7,24,1.84,575,-0.3,575,-0.3,2,1,NA,147.94
2024-11-12,"Caliraya",2024-11-12 08:00:00,287.4,24,-0.32,0,0,0,0,NA,NA,NA,NA
2024-11-12,"Caliraya",2024-11-11 08:00:00,287.72,24,-0.32,0,0,0,0,NA,NA,NA,NA
2024-11-12,"Ipo",2024-11-12 08:00:00,99.99,24,-0.31,101.1,-1.11,0,0,NA,NA,NA,NA
2024-11-12,"Ipo",2024-11-11 08:00:00,100.3,24,-0.31,101.1,-0.8,0,0,NA,NA,NA,NA
2024-11-12,"La Mesa",2024-11-12 08:00:00,79.5,24,-0.17,80.15,-0.65,0,0,NA,NA,NA,NA
2024-11-12,"La Mesa",2024-11-11 08:00:00,79.67,24,-0.17,80.15,-0.48,0,0,NA,NA,NA,NA
2024-11-12,"Magat Dam",2024-11-12 08:00:00,186.39,24,4.44,193,-6.61,189.63,-3.24,1,2,NA,763.78
2024-11-12,"Magat Dam",2024-11-11 08:00:00,181.95,24,4.44,193,-11.05,189.63,-7.68,NA,NA,NA,NA
2024-11-12,"Pantabangan",2024-11-12 08:00:00,209.94,24,0.74,221,-11.06,219.62,-9.68,NA,NA,NA,NA
2024-11-12,"Pantabangan",2024-11-11 08:00:00,209.2,24,0.74,221,-11.8,219.54,-10.34,NA,NA,NA,NA
2024-11-12,"San Roque",2024-11-12 08:00:00,278.3,24,0.23,280,-1.7,278.94,-0.64,1,0.5,NA,64
2024-11-12,"San Roque",2024-11-11 08:00:00,278.07,24,0.23,280,-1.93,279.03,-0.96,NA,NA,NA,NA
