"Date Retrieved","Dam Name","Observation Time & Date","Reservoir Water Level (RWL) (m)","Water Level Deviation Hr","Water Level Deviation Amount","Normal High Water Level (NHWL) (m)","Deviation from NHWL (m)","Rule Curve Elevation (m)","Deviation from Rule Curve (m)","Gate Opening Gates","Gate Opening Meters","Estimated (cms) Inflow","Estimated (cms) Outflow"
2024-12-20,"Ambuklao",2024-12-20 08:00:00,751.73,24,0.16,752,-0.27,752,-0.27,NA,NA,NA,NA
2024-12-20,"Ambuklao",2024-12-19 08:00:00,751.57,24,0.16,752,-0.43,752,-0.43,NA,NA,NA,NA
2024-12-20,"Angat",2024-12-20 08:00:00,204.22,24,0.09,212,-7.78,206.73,-2.51,NA,NA,NA,NA
2024-12-20,"Angat",2024-12-19 08:00:00,204.13,24,0.09,212,-7.87,206.68,-2.55,NA,NA,NA,NA
2024-12-20,"Binga",2024-12-19 08:00:00,574.64,24,-0.24,575,-0.36,574.39,0.25,NA,NA,NA,NA
2024-12-20,"Binga",2024-12-20 08:00:00,574.4,24,-0.24,575,-0.6,574.35,0.05,NA,NA,NA,NA
2024-12-20,"Caliraya",2024-12-20 08:00:00,288.01,24,-0.16,0,0,0,0,NA,NA,NA,NA
2024-12-20,"Caliraya",2024-12-19 08:00:00,288.17,24,-0.16,0,0,0,0,NA,NA,NA,NA
2024-12-20,"Ipo",2024-12-20 08:00:00,99.85,24,-0.01,101.1,-1.25,0,0,NA,NA,NA,NA
2024-12-20,"Ipo",2024-12-19 08:00:00,99.86,24,-0.01,101.1,-1.24,0,0,NA,NA,NA,NA
2024-12-20,"La Mesa",2024-12-20 08:00:00,79.65,24,-0.03,80.15,-0.5,0,0,NA,NA,NA,NA
2024-12-20,"La Mesa",2024-12-19 08:00:00,79.68,24,-0.03,80.15,-0.47,0,0,NA,NA,NA,NA
2024-12-20,"Magat Dam",2024-12-20 08:00:00,187,24,0.13,193,-6,192.66,-5.66,NA,NA,NA,NA
2024-12-20,"Magat Dam",2024-12-19 08:00:00,186.87,24,0.13,193,-6.13,192.63,-5.76,NA,NA,NA,NA
2024-12-20,"Pantabangan",2024-12-20 08:00:00,212.46,24,-0.05,221,-8.54,218.67,-6.21,NA,NA,NA,NA
2024-12-20,"Pantabangan",2024-12-19 08:00:00,212.51,24,-0.05,221,-8.49,218.89,-6.38,NA,NA,NA,NA
2024-12-20,"San Roque",2024-12-20 08:00:00,278.97,24,-0.55,280,-1.03,275.51,3.46,NA,NA,NA,NA
2024-12-20,"San Roque",2024-12-19 08:00:00,279.52,24,-0.55,280,-0.48,275.59,3.93,NA,NA,NA,NA
