"Date Retrieved","Dam Name","Observation Time & Date","Reservoir Water Level (RWL) (m)","Water Level Deviation Hr","Water Level Deviation Amount","Normal High Water Level (NHWL) (m)","Deviation from NHWL (m)","Rule Curve Elevation (m)","Deviation from Rule Curve (m)","Gate Opening Gates","Gate Opening Meters","Estimated (cms) Inflow","Estimated (cms) Outflow"
2024-11-28,"Ambuklao",2024-11-28 08:00:00,751.71,24,-0.04,752,-0.29,752,-0.29,1,0.5,NA,80.62
2024-11-28,"Ambuklao",2024-11-27 08:00:00,751.75,24,-0.04,752,-0.25,752,-0.25,1,0.3,NA,54.73
2024-11-28,"Angat",2024-11-28 08:00:00,200.17,24,-0.09,210,-9.83,205.14,-4.97,NA,NA,NA,NA
2024-11-28,"Angat",2024-11-27 08:00:00,200.26,24,-0.09,210,-9.74,204.86,-4.6,NA,NA,NA,NA
2024-11-28,"Binga",2024-11-27 08:00:00,575,24,-0.34,575,0,575,0,2,0.8,NA,124.75
2024-11-28,"Binga",2024-11-28 08:00:00,574.66,24,-0.34,575,-0.34,575,-0.34,1,0.5,NA,98.03
2024-11-28,"Caliraya",2024-11-28 08:00:00,287.02,24,-0.05,0,0,0,0,NA,NA,NA,NA
2024-11-28,"Caliraya",2024-11-27 08:00:00,287.07,24,-0.05,0,0,0,0,NA,NA,NA,NA
2024-11-28,"Ipo",2024-11-28 08:00:00,100.55,24,0.02,101.1,-0.55,0,0,NA,NA,NA,NA
2024-11-28,"Ipo",2024-11-27 08:00:00,100.53,24,0.02,101.1,-0.57,0,0,NA,NA,NA,NA
2024-11-28,"La Mesa",2024-11-28 08:00:00,79.58,24,0.08,80.15,-0.57,0,0,NA,NA,NA,NA
2024-11-28,"La Mesa",2024-11-27 08:00:00,79.5,24,0.08,80.15,-0.65,0,0,NA,NA,NA,NA
2024-11-28,"Magat Dam",2024-11-28 08:00:00,186.9,24,0.05,193,-6.1,191.66,-4.76,NA,NA,NA,NA
2024-11-28,"Magat Dam",2024-11-27 08:00:00,186.85,24,0.05,193,-6.15,191.58,-4.73,NA,NA,NA,NA
2024-11-28,"Pantabangan",2024-11-28 08:00:00,213.49,24,-0.03,221,-7.51,220.85,-7.36,NA,NA,NA,NA
2024-11-28,"Pantabangan",2024-11-27 08:00:00,213.52,24,-0.03,221,-7.48,220.77,-7.25,NA,NA,NA,NA
2024-11-28,"San Roque",2024-11-28 08:00:00,280.89,24,0.06,280,0.89,277.39,3.5,NA,NA,NA,NA
2024-11-28,"San Roque",2024-11-27 08:00:00,280.83,24,0.06,280,0.83,277.49,3.34,NA,NA,NA,NA
